school_support,parent_engagement,study_time_weekly,absences,midterm_score,final_outcome
no,High,20,6,31,1
no,High,2,4,65,1
no,Low,8,5,49,1
no,High,18,3,45,1
yes,High,4,5,96,1
no,Medium,21,13,59,1
yes,Medium,21,3,84,1
no,Medium,22,3,95,1
yes,Low,4,8,55,1
no,High,4,4,86,1
no,High,18,7,98,1
no,High,8,0,31,1
no,Low,15,20,85,1
no,Medium,18,3,91,1
yes,High,19,4,63,1
no,Low,14,0,85,1
no,Low,21,12,84,1
no,Low,21,4,49,1
no,Low,22,8,79,1
yes,High,19,4,54,1
no,Medium,5,3,54,1
no,Medium,2,6,82,1
no,Low,19,18,43,1
no,Medium,2,3,89,1
no,Low,14,8,72,1
,Medium,21,8,91,1
no,High,21,3,98,1
no,Medium,24,9,92,1
yes,nan,11,17,31,0
yes,Low,12,11,83,1
no,High,10,4,45,1
yes,High,10,2,84,1
yes,High,6,13,72,1
no,Medium,2,2,90,1
yes,Low,18,1,67,1
no,High,23,5,74,1
yes,Medium,3,13,80,1
no,Low,14,15,71,1
no,Medium,10,4,53,1
,Medium,5,8,59,1
yes,Medium,6,3,66,1
no,Medium,12,8,82,1
,High,20,2,92,1
no,Medium,22,1,40,1
no,Medium,4,8,52,1
no,Low,13,7,79,1
yes,Medium,20,4,84,1
no,Low,20,25,84,1
no,High,14,3,33,1
no,Medium,8,0,83,1
no,High,16,3,90,1
no,High,24,0,34,1
no,Medium,8,17,47,0
yes,nan,9,9,73,1
no,High,6,25,60,0
no,Medium,22,12,50,1
no,Low,15,3,76,1
no,High,5,5,59,1
yes,Medium,24,25,84,1
no,Medium,11,5,97,1
no,Medium,21,4,98,1
no,High,16,4,70,1
yes,High,19,1,74,1
no,Low,21,1,59,1
no,Medium,14,9,74,1
yes,High,9,4,74,1
no,Low,10,15,74,1
yes,High,17,6,84,1
yes,Medium,20,7,88,1
,High,17,3,34,1
no,nan,8,16,61,1
no,High,15,14,35,1
no,High,15,2,55,1
no,High,5,0,66,1
no,High,16,7,42,1
no,Low,4,8,98,1
no,nan,6,4,54,1
no,High,2,2,42,1
no,Medium,4,1,49,1
no,Medium,16,7,89,1
no,Low,9,14,50,1
,Medium,5,10,90,1
yes,Medium,3,25,55,0
no,Medium,11,18,83,1
no,Medium,5,7,71,1
yes,High,4,4,40,1
yes,Medium,3,10,66,1
no,High,18,13,40,1
no,Low,24,1,56,1
no,High,22,2,63,1
yes,Medium,21,2,67,1
no,Medium,24,5,90,1
yes,Medium,14,14,82,1
yes,High,6,19,94,1
yes,Medium,22,2,32,1
no,Medium,10,11,96,1
no,Medium,23,6,57,1
no,Medium,7,2,43,1
no,Medium,6,3,81,1
no,Low,11,3,59,1
no,High,9,4,87,1
no,Low,8,8,83,1
no,Medium,8,3,98,1
no,High,7,17,44,0
no,High,22,3,67,1
no,High,21,2,43,1
no,Low,4,7,86,1
no,Medium,20,8,88,1
no,Low,23,14,37,1
no,Medium,16,2,48,1
no,Medium,5,21,61,0
no,High,13,8,58,1
no,High,7,15,70,1
no,Medium,20,5,74,1
yes,High,5,17,42,0
no,High,16,9,56,1
no,Medium,10,5,48,1
no,Medium,6,4,55,1
yes,nan,14,12,82,1
no,Low,24,7,80,1
no,Medium,19,4,66,1
no,Medium,6,6,38,1
no,Medium,17,4,81,1
no,Low,20,1,83,1
yes,High,15,9,32,1
no,Medium,17,3,98,1
no,Low,16,5,37,1
no,Medium,23,2,43,1
yes,Medium,5,41,32,0
no,Medium,8,5,53,1
no,High,17,2,42,1
no,High,23,4,72,1
no,High,22,3,58,1
no,High,23,9,80,1
yes,High,22,24,71,1
no,Low,9,10,60,1
yes,High,18,9,92,1
no,Medium,17,5,55,1
no,High,24,0,47,1
yes,Low,11,21,86,1
yes,High,11,7,36,1
no,Medium,3,5,77,1
no,Low,10,5,89,1
no,Low,18,2,62,1
no,High,12,13,32,0
no,Low,11,0,33,1
no,Medium,23,7,33,1
no,Medium,18,7,71,1
yes,High,5,1,38,1
no,High,17,13,80,1
no,Medium,21,17,46,1
no,Medium,16,1,46,1
no,Medium,22,12,49,1
no,Medium,6,2,43,1
yes,Low,7,8,51,1
no,High,18,3,81,1
no,Medium,2,6,56,1
no,High,20,13,72,1
yes,Medium,5,1,32,1
no,Medium,18,3,37,1
no,nan,10,5,39,1
no,High,3,11,58,1
no,High,9,3,69,1
no,High,16,14,94,1
no,High,8,8,50,1
yes,High,7,25,53,0
no,Low,2,6,89,1
no,High,16,4,55,1
no,High,24,9,38,1
no,Medium,8,16,49,1
no,Medium,18,2,85,1
no,Low,3,9,65,1
no,High,10,5,65,1
yes,Medium,10,5,51,1
,High,14,3,30,1
no,High,7,19,98,1
yes,Low,7,3,66,1
no,High,21,5,42,1
no,Medium,21,2,72,1
no,Medium,22,13,66,1
no,High,4,2,54,1
no,Low,18,13,50,1
yes,High,18,20,70,1
no,Medium,13,3,71,1
no,nan,17,2,71,1
yes,Medium,16,5,31,1
no,Low,14,15,97,1
no,High,24,0,37,1
no,Medium,2,3,90,1
no,High,18,22,43,0
no,Medium,4,7,50,1
no,nan,16,0,53,1
no,High,5,4,79,1
no,Medium,5,14,74,1
yes,High,19,13,93,1
no,Medium,18,6,93,1
yes,Medium,20,16,55,1
yes,nan,12,9,61,1
no,Medium,21,3,86,1
no,High,4,4,82,1
no,High,9,4,62,1
no,High,15,8,81,1
no,High,2,3,47,1
no,High,15,6,64,1
yes,Low,3,10,41,1
no,Medium,24,30,80,1
yes,Medium,5,24,39,0
,High,20,2,81,1
yes,Low,7,10,63,1
no,Medium,2,1,96,1
yes,High,18,2,68,1
,Medium,9,13,37,0
no,Medium,20,14,58,1
no,High,22,13,51,1
yes,Medium,2,5,99,1
no,Medium,6,6,90,1
yes,High,17,2,72,1
no,Low,7,3,78,1
yes,Low,9,7,58,1
yes,Medium,14,11,60,1
yes,Medium,17,18,82,1
no,Medium,4,6,63,1
no,Medium,20,3,67,1
yes,Medium,13,10,86,1
no,High,17,5,33,1
no,Medium,12,21,31,0
no,Low,11,7,41,1
no,Medium,21,14,64,1
no,High,5,7,99,1
no,Low,13,20,50,0
yes,High,24,16,90,1
yes,High,3,2,64,1
no,High,23,11,77,1
no,High,20,5,44,1
no,Medium,6,4,44,1
no,Medium,9,5,35,1
no,High,8,14,97,1
no,Low,15,9,51,1
yes,Low,24,13,61,1
yes,Low,4,9,51,1
no,High,19,9,56,1
no,Medium,17,2,44,1
yes,nan,24,1,73,1
yes,Low,20,2,38,1
no,High,20,13,63,1
no,High,19,17,44,1
yes,Medium,21,17,91,1
yes,Low,17,0,74,1
no,Medium,9,2,87,1
yes,Medium,2,4,48,1
no,High,18,28,45,0
no,Medium,13,6,37,1
yes,Low,22,12,62,1
no,Medium,12,16,47,1
no,Low,6,5,64,1
no,nan,13,8,72,1
no,High,18,17,79,1
no,Medium,7,9,32,1
no,High,2,1,88,1
yes,Low,6,6,57,1
no,Medium,15,28,75,1
no,Medium,6,8,93,1
yes,Low,23,1,99,1
yes,Medium,2,2,76,1
yes,Low,19,5,43,1
yes,Medium,17,7,36,1
yes,High,10,10,60,1
no,Medium,20,3,80,1
no,Low,23,15,58,1
no,High,6,1,44,1
no,Low,3,6,54,1
no,Low,16,2,90,1
no,High,8,18,70,1
no,nan,5,1,98,1
no,High,2,5,33,1
no,High,14,1,86,1
no,High,21,10,60,1
no,Low,23,3,32,1
no,Medium,8,9,96,1
no,High,16,1,79,1
no,Medium,24,12,46,1
no,Medium,15,7,89,1
no,High,24,8,95,1
yes,Low,20,2,53,1
no,Low,23,0,61,1
no,Medium,21,3,48,1
no,nan,19,5,95,1
no,Medium,11,2,89,1
no,nan,10,4,95,1
yes,Medium,9,25,44,0
no,Medium,11,10,64,1
no,High,18,1,98,1
no,Low,3,15,56,1
no,Medium,7,9,36,1
yes,High,6,6,35,1
no,High,10,13,62,1
,Medium,6,3,87,1
no,Medium,19,11,78,1
yes,Medium,21,11,46,1
no,Low,10,5,71,1
yes,High,18,11,69,1
no,Medium,18,10,75,1
yes,High,13,4,99,1
no,Low,8,8,97,1
no,Low,4,4,30,1
no,Medium,11,4,81,1
no,Medium,3,1,64,1
no,High,4,17,98,1
yes,Medium,17,17,34,0
yes,Low,3,2,46,1
yes,Medium,11,4,82,1
no,High,7,3,81,1
no,Medium,23,1,43,1
no,Low,12,25,58,0
no,High,24,9,37,1
no,High,8,8,30,1
yes,Medium,16,18,58,1
no,Low,7,9,65,1
no,High,21,6,80,1
no,High,10,5,66,1
no,High,23,4,98,1
yes,High,21,5,82,1
yes,Medium,13,7,81,1
no,Medium,20,14,41,1
yes,Medium,21,3,81,1
no,Medium,4,2,30,1
no,High,16,3,36,1
no,Low,3,3,46,1
no,Medium,22,10,72,1
no,nan,3,14,46,0
no,Medium,23,12,88,1
no,High,4,3,32,1
no,Medium,7,11,58,1
no,High,16,6,51,1
no,Medium,11,23,67,1
no,High,10,5,83,1
no,High,2,12,79,1
yes,Low,17,3,98,1
yes,High,7,3,59,1
no,Low,10,10,52,1
no,High,5,4,76,1
yes,Medium,3,13,50,1
no,Medium,5,6,49,1
no,Medium,2,8,52,1
no,High,20,14,97,1
no,High,11,16,50,1
yes,High,22,0,50,1
yes,High,16,8,30,1
no,Medium,23,12,44,1
no,Low,20,5,46,1
no,Low,17,5,80,1
no,Low,22,8,92,1
no,Low,23,6,43,1
no,Medium,5,10,88,1
no,High,3,0,79,1
no,Low,14,12,63,1
no,Medium,2,6,35,1
no,Medium,18,0,78,1
no,High,14,4,35,1
yes,Medium,5,13,98,1
no,Medium,8,7,36,1
yes,Low,18,6,80,1
,Medium,10,8,30,1
no,Medium,5,6,42,1
yes,nan,20,17,72,1
no,High,2,6,56,1
no,Medium,11,2,32,1
no,High,5,5,87,1
no,Medium,10,7,46,1
no,Low,14,16,74,1
no,High,15,13,87,1
no,Low,11,7,85,1
no,High,7,5,83,1
no,Low,17,5,58,1
yes,Medium,7,3,83,1
,Low,18,3,56,1
no,High,11,6,74,1
yes,nan,19,9,60,1
no,Medium,23,15,65,1
no,High,19,5,90,1
yes,Low,4,1,66,1
no,High,21,6,96,1
no,Low,22,15,65,1
yes,High,16,15,34,0
no,Medium,16,7,75,1
no,Medium,5,2,81,1
no,High,10,3,78,1
,High,20,9,35,1
no,High,18,8,39,1
no,Medium,12,2,52,1
no,High,10,5,46,1
no,Medium,11,10,73,1
no,High,19,7,70,1
no,High,21,31,44,0
yes,Medium,14,21,73,1
no,High,9,17,87,1
no,Low,8,13,79,1
yes,Low,18,6,81,1
yes,Medium,22,9,99,1
no,Medium,24,11,97,1
no,Low,16,3,92,1
no,High,21,1,87,1
yes,High,16,10,52,1
no,High,2,13,73,1
no,Low,15,11,73,1
no,High,6,1,81,1
no,Medium,12,17,96,1
no,nan,17,1,57,1
no,Low,3,9,96,1
no,Medium,9,10,47,1
no,High,12,6,56,1
yes,Low,19,4,80,1
no,Medium,4,2,89,1
yes,High,2,5,78,1
no,High,12,2,44,1
no,Low,17,20,97,1
no,Medium,19,5,44,1
