school_support,parent_engagement,study_time_weekly,absences,midterm_score
no,High,4,7,67
no,High,17,10,68
no,High,4,4,74
no,High,18,8,77
no,High,12,2,44
no,High,6,11,32
no,Medium,15,12,77
no,High,2,3,47
yes,Medium,3,6,80
no,Medium,12,4,39
no,Medium,10,5,41
no,Medium,12,21,31
no,High,16,14,63
yes,Low,23,1,99
no,Low,24,11,93
no,Low,24,7,80
no,Medium,12,6,44
no,Medium,20,14,58
yes,High,18,9,92
no,High,11,5,39
no,Medium,10,13,34
no,High,10,3,78
no,Medium,10,8,80
no,Medium,7,3,98
no,High,5,5,87
no,Medium,24,11,97
no,Medium,23,5,76
no,High,23,5,35
no,Medium,24,3,38
no,Low,3,3,94
no,High,21,19,85
yes,Low,7,4,79
no,Medium,14,5,91
no,High,20,10,63
no,High,8,8,50
no,Medium,11,7,90
no,Medium,16,4,88
yes,Low,5,17,73
no,Low,8,8,97
no,High,3,9,78
yes,High,3,2,43
no,Medium,12,9,72
yes,High,12,1,52
yes,High,18,11,69
yes,Medium,22,10,93
yes,Low,6,9,63
no,Medium,3,5,36
no,Medium,22,10,72
no,Medium,19,6,42
yes,Medium,20,3,82
no,High,16,9,56
no,High,22,7,50
no,High,6,25,60
no,High,5,0,66
yes,High,13,8,69
yes,Medium,16,10,67
no,Medium,20,3,67
yes,Medium,21,3,81
yes,Medium,16,18,58
no,High,6,4,48
no,High,14,8,85
no,Medium,19,14,36
yes,Medium,6,5,47
no,High,13,4,62
yes,High,9,22,57
no,Medium,9,5,86
no,High,21,12,46
yes,Medium,21,5,52
no,Medium,13,3,71
yes,Medium,23,4,44
no,Medium,3,1,64
yes,Low,24,3,51
no,High,11,5,80
no,Medium,18,3,67
no,Medium,11,6,68
no,Low,23,11,39
no,High,20,2,60
no,Medium,16,4,87
no,Low,21,4,49
yes,Low,12,2,72
no,Low,23,6,43
yes,Medium,2,2,76
no,High,4,6,78
yes,Medium,22,2,32
no,Medium,14,12,68
no,Medium,2,25,51
no,High,5,7,99
no,Medium,18,24,91
yes,High,6,13,34
yes,Medium,14,11,60
no,High,20,11,73
no,High,21,24,63
no,Medium,16,2,75
no,Medium,7,23,90
yes,Medium,7,8,42
yes,Medium,7,8,35
yes,Low,23,7,44
no,High,5,16,41
no,High,17,16,79
no,Medium,10,4,95
yes,Low,2,14,82
no,Medium,7,9,32
no,Low,21,4,61
no,Low,17,21,34
no,Medium,21,9,32
no,High,9,4,62
no,Medium,12,11,99
no,High,7,6,77
no,High,19,7,66
no,Medium,20,2,90
no,High,19,12,34
yes,Medium,20,7,88
yes,Medium,15,16,44
yes,Low,9,16,91
no,Medium,10,41,35
no,Medium,4,5,88
no,High,6,7,58
no,High,14,5,38
no,Medium,5,3,59
no,Medium,5,21,43
no,Medium,20,3,92
no,Medium,17,6,99
no,Medium,16,14,50
no,High,18,8,89
no,Medium,24,14,34
no,Medium,3,9,36
yes,High,4,5,96
no,Medium,16,2,48
yes,Medium,5,24,39
no,Medium,11,12,41
no,High,22,6,72
no,High,4,3,85
yes,Low,15,14,89
no,Medium,23,2,43
no,Low,14,9,64
yes,Medium,14,12,82
no,Medium,6,3,52
no,Medium,4,7,32
no,High,24,17,94
no,Medium,10,6,78
no,Medium,21,0,89
no,Medium,23,1,43
no,Medium,24,3,32
no,Medium,9,3,70
no,Medium,8,3,98
yes,Medium,13,13,76
no,High,5,14,63
no,Medium,16,7,75
no,Medium,23,6,94
no,High,21,2,43
no,Medium,14,7,79
no,High,13,8,58
no,Medium,15,30,80
no,Medium,7,24,73
yes,High,22,3,78
yes,Medium,9,9,73
no,Medium,15,0,93
no,High,19,4,37
yes,Medium,17,18,82
no,High,11,8,60
no,Low,6,5,64
no,Medium,21,13,59
no,Medium,6,4,44
yes,Low,22,12,62
yes,High,17,6,84
yes,Low,14,10,70
no,Medium,15,7,89
no,Medium,17,4,81
no,Medium,6,12,42
yes,Medium,21,9,77
no,High,15,4,78
no,Medium,5,10,35
yes,High,12,10,30
yes,High,10,3,60
no,High,13,20,61
no,Medium,5,4,81
yes,Low,4,13,71
no,Medium,15,5,62
no,Low,22,1,35
no,Medium,18,9,94
no,High,7,7,34
no,Medium,21,14,64
no,Medium,23,7,81
no,Low,5,2,36
no,High,11,6,74
yes,High,24,2,55
yes,Low,12,11,83
no,Medium,12,21,100
no,High,18,22,43
no,High,4,6,33
no,High,5,4,81
no,Low,20,2,38
no,High,5,4,79
no,High,23,5,74
no,Low,16,9,96
no,Low,4,4,30
no,High,21,10,60
yes,Medium,6,2,59
no,Low,7,9,34
no,High,3,11,58
yes,High,11,14,60
no,High,16,3,36
no,High,21,2,63
no,Low,16,7,91
no,High,7,15,59
no,Medium,5,0,93
no,Low,3,6,54
no,Medium,8,11,97
no,High,2,0,56
no,High,15,15,45
no,Low,10,5,71
no,High,15,6,64
no,High,7,19,44
no,High,16,6,51
yes,High,23,8,31
yes,High,14,16,66
no,Medium,4,1,78
no,High,12,4,73
no,Medium,12,15,51
yes,High,5,0,65
no,Medium,2,15,60
no,High,14,5,73
no,Medium,16,7,89
no,Low,15,5,89
no,High,3,2,90
no,Low,23,2,50
no,High,22,5,51
no,Medium,11,10,64
no,Medium,16,6,76
no,Medium,13,11,91
no,Low,15,20,85
no,Medium,6,6,38
no,High,10,11,75
yes,Medium,13,4,34
no,High,10,7,70
no,High,19,17,44
no,Medium,13,19,91
no,High,4,14,95
yes,Low,12,12,59
no,High,12,4,47
yes,Medium,23,15,91
no,High,20,14,30
yes,Medium,2,7,64
no,Low,15,1,84
no,High,23,2,78
no,High,10,5,46
no,Medium,2,6,82
no,High,11,16,50
no,Medium,6,5,61
no,High,21,13,83
no,Medium,19,25,36
no,Medium,6,0,55
no,Medium,10,7,46
no,Medium,21,16,94
yes,Medium,17,0,41
yes,High,7,10,51
no,Medium,23,12,47
no,Medium,18,10,75
no,High,6,3,99
no,Medium,17,2,92
no,High,6,7,76
no,Medium,22,12,50
no,Low,2,4,86
no,High,20,5,44
no,Medium,20,6,47
yes,Medium,22,9,99
no,Medium,23,6,70
no,Low,10,15,74
no,Medium,11,9,93
no,High,8,4,57
no,Medium,16,8,60
no,High,7,7,86
no,High,5,14,38
yes,Medium,8,12,96
no,High,23,8,84
no,Medium,20,8,88
yes,Medium,16,1,95
no,High,9,2,85
yes,Medium,3,3,56
no,Low,19,18,43
yes,High,18,7,86
no,Medium,4,8,52
no,Low,2,0,37
no,Medium,2,23,47
yes,Medium,17,2,34
no,Low,8,8,83
no,High,5,5,50
no,Low,23,3,32
no,Medium,17,14,86
no,High,21,4,77
no,High,9,20,40
yes,Low,23,5,95
no,High,9,5,34
no,Medium,13,8,72
no,Low,21,1,59
no,Medium,5,10,93
no,Low,13,8,62
no,Medium,9,2,88
no,Low,14,12,63
yes,Medium,12,6,91
no,Low,8,13,79
no,Medium,22,1,56
no,Low,17,7,47
yes,High,16,13,74
yes,Medium,3,25,55
no,Low,20,14,48
no,Low,19,3,81
no,Low,22,0,98
no,Medium,11,2,32
no,Medium,5,25,47
no,Low,15,11,73
no,High,2,5,65
no,High,10,4,45
no,High,9,11,68
yes,Medium,24,4,34
no,High,18,13,40
no,Medium,6,11,82
no,Medium,20,7,83
yes,Medium,12,0,42
no,Low,20,1,83
yes,Medium,2,1,72
yes,Low,7,3,66
no,High,16,4,70
yes,Low,4,9,51
no,Medium,12,17,96
no,Medium,5,2,81
no,Medium,3,7,99
no,Medium,20,1,44
no,Medium,4,11,46
no,High,6,19,44
no,High,3,2,43
yes,Medium,2,17,79
no,Medium,21,7,77
yes,Low,20,2,38
no,Medium,18,0,39
no,Low,5,7,89
no,High,16,1,79
no,Medium,8,7,36
no,Low,22,0,51
yes,Medium,8,1,61
no,Low,4,26,72
no,Medium,11,12,65
no,Low,13,7,79
no,Medium,2,4,33
no,High,2,5,33
yes,High,10,8,95
no,Low,22,8,37
no,Medium,11,9,47
yes,Medium,21,17,91
no,Medium,24,5,90
no,Medium,9,9,75
yes,Medium,11,16,82
no,High,24,0,47
yes,Medium,20,4,84
no,Medium,8,0,63
no,High,23,4,72
no,Medium,18,2,75
no,Medium,5,6,49
no,Medium,23,12,95
no,Low,17,5,46
no,Low,24,7,75
no,Medium,16,1,46
no,Medium,10,5,39
no,Low,14,5,72
no,Medium,16,0,53
yes,High,16,15,34
no,High,7,17,44
yes,High,18,20,70
no,High,7,3,81
no,High,2,12,79
no,High,22,3,58
yes,Medium,3,5,70
no,Medium,12,5,85
no,Low,20,27,31
no,Medium,14,19,71
no,Medium,7,3,86
no,Low,9,8,37
no,Medium,12,6,54
no,Medium,14,9,74
yes,Low,17,3,98
yes,High,6,6,35
no,Low,7,9,65
no,Medium,3,9,47
no,Low,22,8,92
yes,Medium,10,10,32
no,Low,20,2,35
no,Medium,2,4,92
yes,High,5,1,38
yes,Medium,14,10,75
no,Medium,19,6,35
no,High,19,7,70
no,Medium,7,8,44
yes,Medium,17,17,34
yes,Medium,22,8,39
no,Medium,18,7,71
yes,High,19,4,54
no,Medium,23,5,43
no,Medium,5,10,73
no,High,24,9,38
no,High,6,9,51
yes,High,24,16,90
no,High,22,0,68
no,Medium,4,1,49
yes,Medium,21,3,84
no,High,2,12,79
no,Medium,14,2,44
yes,Low,11,21,86
no,High,13,11,32
no,High,20,13,72
no,Medium,5,8,59
no,Medium,5,14,74
no,Medium,16,11,68
yes,Medium,19,12,65
no,High,4,9,33
no,High,2,11,73
no,Medium,19,5,44
no,High,22,13,51
no,High,7,5,48
no,Low,4,8,98
no,Medium,10,1,88
no,Low,23,14,37
no,Low,18,3,45
no,High,13,6,32
no,High,18,1,98
no,Medium,21,15,52
no,Medium,5,4,37
no,Medium,8,10,91
no,High,9,26,77
no,Medium,20,19,74
yes,High,18,2,91
no,High,21,31,44
no,High,21,5,42
no,High,24,5,40
no,Medium,24,14,93
no,Medium,13,6,37
yes,Medium,6,3,66
no,Medium,24,5,48
no,Medium,10,14,65
no,Medium,2,13,92
no,High,20,9,77
no,High,19,7,86
no,Low,2,9,54
no,Low,16,2,90
no,Low,12,25,58
no,Low,20,5,46
yes,Low,17,0,74
yes,High,4,4,40
yes,High,10,2,84
no,Medium,15,15,43
no,High,13,4,92
yes,High,7,3,59
yes,Medium,7,3,83
no,Low,14,15,71
no,High,14,1,68
no,High,6,1,81
no,High,20,5,57
no,High,23,6,60
no,Medium,24,9,92
no,Medium,22,3,95
no,High,8,6,86
no,Low,14,1,31
no,High,4,2,54
no,High,8,18,70
no,Medium,4,2,50
yes,Medium,19,9,60
no,Medium,24,14,62
no,Medium,10,8,30
no,High,5,6,94
yes,Medium,6,6,97
no,High,14,3,33
no,High,8,6,83
no,Medium,12,27,69
no,Medium,24,11,50
no,High,14,5,39
no,Medium,5,8,87
no,High,24,8,95
no,Medium,2,11,33
no,Low,11,7,85
no,High,22,7,72
no,Medium,9,6,76
no,Medium,4,8,69
no,High,9,17,87
no,Medium,6,15,31
no,Low,22,4,37
yes,High,9,2,69
no,High,18,2,52
no,Medium,9,2,87
no,High,21,3,98
no,Medium,22,1,40
no,Medium,17,5,55
no,Medium,17,1,57
yes,Medium,10,5,87
yes,Medium,18,14,67
no,Medium,6,13,48
yes,Medium,18,5,91
no,High,7,2,43
no,Medium,19,15,67
no,Low,14,8,72
no,High,18,3,45
yes,High,15,0,50
no,Medium,2,6,56
no,Medium,17,0,30
no,Low,3,0,83
no,High,13,2,90
no,Medium,3,10,30
no,High,4,3,32
no,High,10,5,83
no,Medium,9,10,47
no,Medium,7,2,43
no,Medium,22,9,50
no,High,23,18,76
yes,Medium,18,6,63
no,Medium,24,10,35
no,Medium,9,5,35
no,High,14,4,63
no,Medium,19,2,94
no,High,22,0,33
no,Medium,18,6,93
no,Low,17,5,80
yes,Medium,20,16,55
no,Low,3,3,46
no,Low,18,9,32
no,Medium,4,9,39
yes,Low,7,12,87
no,Medium,23,1,92
no,High,15,8,81
yes,High,7,31,39
no,Low,14,0,85
no,Medium,13,17,94
no,Medium,7,1,36
yes,High,12,0,90
yes,Medium,5,1,32
yes,High,19,4,63
no,Medium,19,8,70
no,Low,10,22,91
no,Medium,5,0,97
yes,High,14,3,87
yes,Medium,10,4,95
no,High,23,24,50
no,High,24,18,41
yes,High,11,7,36
no,High,13,4,69
no,High,18,3,81
no,Low,9,10,76
no,Low,24,1,56
yes,Medium,20,17,72
no,Low,18,23,33
no,Medium,6,3,81
no,High,12,4,50
yes,Medium,19,4,78
no,High,8,0,31
no,High,17,2,42
no,High,3,6,86
yes,Low,18,1,67
no,Medium,13,7,74
yes,High,18,2,68
no,High,7,19,98
yes,High,12,9,73
yes,Low,10,4,72
no,High,8,9,36
no,High,24,9,37
no,Medium,12,16,47
yes,Low,3,10,41
no,Medium,21,8,91
yes,Low,18,6,80
no,High,5,5,59
yes,Medium,12,8,60
no,Medium,16,7,57
no,Medium,5,1,98
no,Medium,13,7,79
no,High,11,3,81
no,High,7,3,53
no,Medium,22,12,49
no,Medium,7,4,32
no,Medium,5,10,90
no,Medium,12,10,30
no,High,20,9,53
no,Low,19,3,98
no,High,7,7,74
yes,Medium,19,13,34
yes,Medium,12,12,98
no,High,19,6,78
no,Medium,10,13,95
yes,Medium,10,5,51
no,Medium,24,0,37
no,High,23,11,33
no,High,22,1,56
no,High,6,1,44
no,Medium,21,4,98
no,Medium,20,13,36
yes,Medium,13,10,86
yes,Low,23,12,30
no,High,5,4,76
no,High,12,6,56
yes,High,19,10,89
no,High,23,8,44
no,Medium,24,10,81
no,Low,20,9,70
yes,Low,19,5,43
no,Medium,11,16,92
no,High,16,8,36
no,Medium,23,15,65
no,Medium,22,9,51
yes,High,21,5,82
no,Low,7,3,78
no,High,23,4,98
yes,High,22,15,71
no,Medium,14,4,82
no,Low,24,26,85
no,High,20,15,93
no,Medium,24,4,59
no,Medium,8,17,47
no,Medium,9,3,41
no,High,13,35,38
no,Medium,9,9,36
no,High,2,6,66
no,Medium,3,5,96
no,High,9,10,85
yes,Medium,17,7,36
no,Medium,18,9,45
no,High,14,6,44
no,Medium,4,5,60
no,High,3,5,51
yes,Medium,2,4,48
yes,Medium,21,11,46
no,Low,16,13,98
yes,Low,4,0,94
yes,Low,22,21,46
no,High,20,9,35
no,Medium,6,2,43
no,Low,10,2,53
no,Medium,20,7,59
no,Medium,9,18,48
no,Medium,4,2,30
no,High,20,14,97
no,Low,6,7,49
no,Low,6,6,85
no,Low,7,17,39
no,Medium,15,11,46
no,Low,8,7,75
no,Medium,19,8,30
no,High,6,6,36
no,Medium,16,1,38
no,High,12,3,62
no,High,3,9,65
no,Medium,24,12,46
no,Medium,6,3,84
no,High,2,4,65
yes,High,14,8,62
yes,Medium,11,17,31
no,High,20,19,38
yes,Low,4,8,55
no,High,6,9,51
no,High,14,37,73
no,Medium,3,5,65
no,Medium,6,4,54
yes,High,9,12,38
no,High,14,7,39
no,Medium,24,6,62
no,High,17,5,33
yes,Low,7,10,63
yes,High,22,0,50
no,Medium,23,7,79
no,Medium,23,16,97
no,Medium,8,5,53
yes,Medium,18,0,54
no,High,18,17,79
no,Medium,15,8,75
yes,Medium,21,0,41
no,High,5,24,88
yes,Medium,7,13,44
yes,Low,20,7,48
no,High,18,15,74
no,Medium,11,0,37
yes,High,18,10,44
no,High,15,13,87
no,High,15,2,55
no,Low,22,8,99
no,Medium,11,5,85
no,Low,3,9,96
no,High,15,14,35
yes,Low,10,3,82
no,Medium,20,5,74
no,Low,3,15,56
no,High,4,4,82
no,High,5,5,96
no,Medium,17,3,44
yes,High,16,5,58
no,High,15,10,88
no,Low,4,9,48
no,High,7,5,83
no,Medium,5,21,61
no,High,23,11,77
yes,Low,18,6,81
no,Medium,18,4,47
no,Medium,24,30,80
no,High,4,10,98
no,Medium,14,13,90
no,High,3,0,79
no,Low,16,3,92
no,Medium,10,4,53
no,Medium,6,8,93
no,Medium,12,4,57
no,Low,19,11,76
no,Low,15,13,41
no,Medium,18,8,50
yes,High,20,2,43
no,Low,14,15,97
yes,Medium,20,0,49
no,Low,14,12,81
no,High,20,2,81
no,Medium,24,5,60
no,Low,11,0,65
yes,Medium,16,34,93
no,Medium,19,11,78
no,Low,13,7,61
no,High,2,2,42
no,Medium,9,28,58
yes,High,11,8,49
yes,High,12,1,32
no,High,7,21,93
no,Medium,2,1,96
no,High,14,3,30
no,High,16,8,82
yes,Medium,16,5,31
no,Medium,7,13,38
yes,Medium,16,24,54
no,Low,13,20,50
yes,Medium,2,5,99
no,High,5,27,58
no,Low,14,8,97
no,Medium,2,3,89
no,Low,3,9,65
no,High,20,9,78
yes,High,5,10,67
yes,Low,11,8,30
yes,Medium,22,5,80
no,Low,9,17,50
no,Medium,9,10,56
yes,Medium,18,1,90
yes,High,8,19,51
no,Medium,11,8,55
no,Low,16,16,57
no,High,4,7,33
no,Medium,21,3,48
no,Medium,10,5,48
no,High,13,1,78
no,Medium,15,8,35
yes,High,12,0,46
no,Low,4,7,86
no,Medium,6,4,55
no,Medium,23,12,88
no,High,14,2,81
yes,High,12,12,45
no,Medium,6,9,71
yes,Medium,3,2,95
no,Medium,19,2,32
no,Medium,18,0,68
yes,Medium,8,26,41
yes,High,3,2,64
yes,Medium,18,3,65
no,High,14,1,56
yes,Low,20,2,53
no,Medium,18,2,85
no,Low,9,6,64
yes,Low,9,13,54
no,High,17,13,80
no,Low,6,3,66
no,High,18,18,32
yes,High,14,5,63
no,High,9,8,72
no,High,10,5,65
yes,Medium,5,8,51
no,High,15,4,49
yes,High,23,6,54
yes,High,3,4,88
no,Medium,3,1,30
no,Medium,23,9,48
no,Medium,4,7,50
no,Low,23,6,76
no,High,11,4,60
no,Low,24,0,32
no,High,8,1,96
yes,Medium,4,6,37
yes,High,22,5,69
no,High,13,8,95
no,Low,17,20,97
no,Medium,4,2,89
yes,High,9,6,95
no,Medium,17,1,52
no,High,17,6,53
no,High,7,6,52
no,High,5,15,68
no,High,19,0,52
no,Medium,11,19,80
yes,Medium,3,10,66
no,High,22,2,63
no,Medium,21,31,61
no,High,16,7,95
no,Medium,22,13,66
no,Low,16,4,50
no,Medium,18,1,50
no,High,18,11,36
no,Medium,18,3,91
yes,Low,2,6,53
no,Low,8,11,94
no,High,14,3,84
no,High,15,1,51
no,Low,17,3,67
no,High,16,14,94
yes,High,2,5,78
no,Medium,8,7,37
no,Medium,4,2,43
no,High,23,9,80
no,High,13,10,77
no,Low,22,10,36
no,Medium,23,6,54
yes,High,5,17,42
no,High,11,1,82
no,Medium,7,3,73
no,Low,10,10,52
no,Medium,13,2,63
no,Medium,4,14,48
no,Medium,20,3,80
no,High,13,1,93
no,High,19,10,40
no,Medium,16,8,30
no,Medium,7,9,36
no,Medium,24,3,82
no,Medium,7,4,82
yes,High,7,25,53
no,Low,18,2,62
yes,Medium,24,9,37
yes,High,8,5,79
yes,Low,8,6,95
no,High,2,3,62
no,Low,14,16,74
yes,Medium,6,7,44
yes,High,23,6,94
no,High,19,12,95
no,Low,10,5,89
no,Low,5,3,53
no,Medium,14,3,92
no,Medium,13,29,90
no,High,13,1,55
no,High,20,6,91
yes,Medium,18,27,47
no,Low,10,7,32
yes,Medium,11,4,82
no,High,19,9,56
no,Medium,12,3,59
no,High,20,2,92
yes,Medium,3,4,36
no,Medium,15,28,75
no,Medium,5,13,58
no,High,10,5,66
no,High,9,3,69
no,Medium,21,17,46
no,Medium,16,1,82
no,Medium,21,2,72
no,Medium,22,13,91
yes,High,13,6,76
no,Medium,11,13,36
no,Medium,9,13,37
no,High,8,7,98
no,Low,14,5,31
